	AD1X24b	AD1X24c	AD1X24d	AD1X7a	AD1X7b	AD1X7c	AD1Y24b	AD1Y24c	AD1Y24d	AD1Y7a	AD1Y7c	AD1Y7d	AD8X24b	AD8X24c	AD8X24d	AD8X7a	AD8X7b	AD8X7c	AD8Y24a	AD8Y24b	AD8Y24c	AD8Y7a	AD8Y7c	AD8Y7d
OG0000021	0.0490422	0.149592	0.0132403	0.074408	-0.0192521	-0.0618413	-0.0864564	-0.0764955	0.096151	-0.0445444	-0.0184223	-0.0754218	-0.0778045	0.0122253	0.0345111	-0.0465781	-0.0283288	0.0331985	0.0663797	0.0129207	0.0544486	-0.0807919	-0.0497395	0.069559
OG0000022	0.0159073	-0.0553433	0.17016	-0.00267994	-0.0669788	-0.0954599	-0.0831871	0.01482	0.116348	0.0779324	0.121701	-0.213219	-0.143647	-0.105856	-0.0639493	-0.0734913	-0.0221944	0.0719145	0.0432564	0.0269995	0.291225	0.0336715	0.00790676	-0.0658356
OG0000023	-0.223919	-0.188143	-0.215953	-0.141385	-0.11546	-0.0856942	0.314331	0.328934	0.495704	-0.0452691	-0.0305489	-0.0925971	-0.139863	-0.136877	-0.0514569	-0.179919	-0.288038	-0.235597	0.701369	0.385486	0.169128	0.0317156	-0.109368	-0.14658
OG0000024	0.162697	0.273349	0.0629087	0.152743	0.163003	0.351776	-0.225336	-0.238519	-0.249453	-0.186866	-0.251744	-0.0145582	0.0751219	0.12004	0.0776109	-0.0427622	-0.0642033	-0.0371449	-0.0202046	0.0232935	-0.107445	-0.0355565	-0.0158865	0.0271374
OG0000025	-0.0261985	-0.141365	0.118423	0.0419395	0.269202	-0.131706	-0.177423	0.0829554	0.14984	0.0209431	-0.0982936	-0.108317	0.00257381	-0.0535727	-0.0535727	0.107033	-0.0535727	-0.0535727	-0.0535727	0.0609213	-0.0535727	0.190062	-0.0535727	0.0144195
OG0000026	0.442901	0.466735	0.249833	0.139586	-0.0656796	-0.0125424	-0.303297	-0.454197	-0.53289	-0.0390185	-0.101729	0.210299	0.175106	0.193193	-0.0683217	0.291023	0.424912	0.0953471	-0.384971	-0.437428	-0.480853	0.0607206	0.0982359	0.0330362
OG0000027	0.210143	0.0831701	-0.142547	-0.0204214	0.0170709	-0.115573	0.0203286	-0.0963378	0.119697	-0.0715924	-0.0523294	0.0483912	-0.170704	0.0572404	-0.647586	0.408924	0.589266	-0.0459755	-0.380969	-0.230581	-0.638798	0.178428	0.460769	0.419986
OG0000028	-0.00237823	0.101299	0.0325271	0.0791487	0.0835122	0.099085	-0.0114612	0.0935228	0.119565	-0.204806	-0.154877	-0.235138	-0.132233	-0.181393	-0.434276	0.282288	0.336194	0.158832	-0.303167	-0.202258	-0.0845243	0.208042	0.278412	0.0740816
OG0000029	0.142162	0.162405	0.143765	0.0232749	0.0216326	0.0372112	-0.0491397	0.0718852	-0.0329457	-0.174214	-0.186251	-0.159785	0.0757953	0.144256	-0.138984	-0.196503	-0.0726002	0.0225908	-0.0533291	-0.0609889	0.138454	0.1427	0.0718267	-0.0732177
OG0000030	0.152997	0.235623	0.0635879	0.122389	0.102021	0.249855	-0.244774	-0.132241	-0.1185	-0.0732968	-0.180119	-0.177542	-0.121142	0.102281	-0.126968	-0.00409199	0.0845613	-0.0638409	0.0573946	0.0898158	-0.145109	0.0499905	0.0205687	0.0565398
OG0000031	0.150007	0.20481	0.170339	0.132671	0.160837	0.0299777	-0.356267	-0.235935	-0.215344	0.0181469	-0.0262324	-0.0330095	-0.188691	0.00167665	0.00361857	0.030319	0.169345	0.0566103	-0.0405543	-0.128328	0.145649	-0.0408456	0.0160069	-0.0248065
OG0000032	-0.0254085	-0.0781796	-0.117831	-0.112541	-0.202303	-0.117837	0.253445	0.569324	0.254492	-0.0279549	-0.163792	-0.231414	-0.213019	-0.133099	-0.0395127	-0.045214	-0.0346629	-0.188957	0.0139645	0.579717	0.254194	-0.147229	-0.0627648	0.0165835
OG0000033	-0.0496104	0.0995483	0.0468845	0.0790057	0.0763584	0.0300874	-0.0688711	-0.0332948	-0.0620984	-0.0695702	0.0323998	-0.0808392	-0.0934528	-0.0913838	0.00471585	0.0698804	-0.0368142	-0.0577222	0.00688109	0.00603762	0.117308	0.0873311	0.0572397	-0.0700209
OG0000034	0.383726	0.455095	0.170159	0.553932	0.555761	0.605129	-0.503608	-0.548897	-0.509299	-0.346247	-0.443355	-0.372395	0.257406	0.434831	0.366155	0.0556313	-0.186395	-0.24108	0.0719587	-0.0498314	-0.226796	-0.155551	-0.143929	-0.182401
OG0000035	-0.0740307	0.0924858	0.00149834	0.0430814	-0.0348812	0.00888873	0.0335838	0.158369	0.082283	-0.135301	-0.11379	-0.0621876	-0.0665324	0.123094	0.0195896	0.105423	0.0716545	-0.010056	-0.0815488	-0.117245	-0.0867539	0.0516847	0.0865616	-0.0958709
OG0000036	0.00131741	0.0337775	-0.0644325	0.0266614	-0.0357321	0.064252	-0.00198646	0.00650021	-0.0253284	0.0150042	-0.0454412	0.0254079	0.0713377	0.154613	0.0796841	-0.0033033	-0.12366	-0.0141214	0.0195433	-0.0449163	0.0120589	-0.00708985	-0.174861	0.0307143
OG0000037	-0.0643684	0.129139	-0.036467	0.0940465	-0.0343556	0.00695889	0.0202832	-0.0386657	-0.0643684	-0.0392229	0.0432441	-0.016224	-0.00807572	-0.0353714	-0.0898064	0.00456625	0.0920401	-0.0197228	0.0189394	0.08609	-0.0135557	0.068722	-0.0722189	-0.0316069
OG0000038	-0.137941	-0.0275163	0.15203	-0.228129	0.0569309	-0.22951	0.289338	0.565232	0.242527	-0.382886	-0.251057	-0.0490182	-0.389522	0.104047	-0.290642	-0.114126	0.0371713	-0.184734	0.548202	0.40037	0.31844	0.211148	-0.256755	-0.3836
OG0000039	0.0745975	0.0387109	0.169528	0.330642	0.328848	0.205643	-0.471604	-0.463186	-0.396979	0.0355909	0.101074	0.0471351	-0.235589	-0.133943	-0.407802	0.209817	0.271077	0.184863	-0.168673	-0.14025	-0.41267	0.324896	0.245682	0.262592
OG0000042	0.08723	0.00586411	0.0086367	0.107161	-0.057296	-0.0801352	-0.0769572	-0.0163604	0.0142326	-0.0327038	0.0894665	-0.0491385	-0.0346849	-0.018653	-0.0897797	0.0125381	0.0624935	0.015422	-0.0591856	-0.0325327	-0.0571211	0.0366054	0.188216	-0.0233177
OG0000043	0.0455979	0.251302	0.227384	-0.0428562	-0.0102972	0.112472	-0.0995359	-0.0235143	-0.00475841	-0.128711	-0.296086	-0.0309969	-0.0446867	0.177199	0.0247559	-0.110849	-0.189119	-0.122212	0.215466	0.122734	0.168865	-0.104907	-0.119464	-0.0177835
OG0000044	-0.0648546	0.0375377	0.0661543	-0.0930817	-0.136983	-0.142408	0.0384797	0.229377	0.134963	0.0129147	-0.0358766	-0.0462218	-0.0574132	0.0120772	-0.0644784	-0.12958	-0.0425397	0.103376	0.00391386	0.237908	0.29049	-0.0510402	-0.161771	-0.140942
OG0000045	-0.0532507	0.110315	0.120066	0.0858163	0.158536	0.073246	-0.175622	-0.0857752	-0.155432	-0.0791363	0.0100814	-0.00884487	0.12345	0.551931	0.376672	-0.072752	0.0051122	-0.0466714	-0.0583847	-0.201872	-0.170152	-0.316755	-0.0705223	-0.120056
OG0000047	-0.435497	-0.252547	-0.199729	-0.445627	-0.408612	-0.349254	0.781504	0.996933	0.949075	-0.248432	-0.237514	-0.1503	-0.0620322	-0.0620322	-0.0620322	-0.0620322	-0.0620322	-0.0620322	0.168538	0.257338	0.0657725	-0.0620322	0.00460867	-0.0620322
OG0000049	-0.0362699	0.0428039	-0.0298955	0.192532	0.0297977	0.0691807	-0.061499	-0.0231199	-0.106775	-0.0410419	-0.0453906	0.00967795	-0.353568	-0.180772	-0.289725	-0.0292053	-0.0775961	-0.142594	0.0157329	0.271216	0.321663	0.162397	0.198359	0.104092
OG0000050	0.0642695	0.135266	-0.0894909	0.0642618	0.0339977	0.0576289	-0.0458393	-0.046973	-0.142799	-0.0124406	-0.108337	0.0904557	0.00114298	0.00491849	-0.077712	0.0765523	0.00512145	-0.0597139	-0.0384953	0.0313956	-0.0164298	0.161216	-0.0521955	-0.0358002
OG0000051	-0.00460676	0.130279	-0.00307952	0.152866	0.0454087	-0.0968191	-0.0287587	0.00841426	0.0107726	-0.174579	-0.0825456	0.0426485	-0.219018	0.228971	0.124865	-0.00351021	0.341901	0.037412	-0.281784	-0.0491664	0.0652529	0.0899768	-0.168655	-0.166245
OG0000052	0.204295	0.24195	0.163415	0.208307	0.325163	0.2253	-0.185733	-0.172913	-0.279288	-0.195845	-0.248563	-0.286088	0.0481958	0.0844834	0.100299	-0.0568669	-0.143268	-0.14606	0.122361	0.136279	-0.0176063	-0.0903632	-0.111145	0.0736916
OG0000053	0.011387	0.00717305	-0.0623121	0.0525495	-0.101703	-0.0210319	-0.0358856	0.0530258	0.00282172	0.0185259	0.0207271	0.0547223	-0.0610541	-0.0811466	-0.0482032	0.0872858	-0.0163896	-0.0885723	0.0691918	0.182039	0.0898252	0.019705	-0.111299	-0.041382
OG0000054	0.030518	0.142173	0.0943274	-0.319862	-0.1246	-0.356964	-0.0854963	0.214779	0.186775	0.0167299	0.227202	-0.0255824	-0.257242	0.0357682	-0.115099	-0.0779379	-0.110817	-0.0819614	0.111914	0.15529	0.279746	0.0391302	0.0592743	-0.0380658
OG0000055	0.203937	0.188247	0.0581044	0.189835	0.183597	0.201542	-0.0320017	-0.100355	-0.0968113	-0.214052	-0.290168	-0.291874	0.138859	0.115555	0.21441	-0.170384	-0.195059	-0.223503	0.259104	0.185329	0.198227	-0.120928	-0.247011	-0.154598
OG0000056	-0.0655813	-0.0181033	-0.0474488	-0.0645602	-0.0148947	0.0584563	-0.0173139	0.106203	-0.0132278	-0.00571616	-0.12811	0.210297	-0.0751904	-0.0711614	-0.115621	0.0420602	0.0821483	0.051959	-0.039455	0.0230907	0.0256574	0.0551066	0.00857755	0.0128279
OG0000057	-0.05354	0.0531069	0.00849475	-0.00749174	0.0768689	0.195327	-0.203492	-0.135706	-0.200435	0.15084	0.038266	0.0777604	0.193778	0.0317822	0.200226	-0.0271253	-0.200548	-0.11381	-0.0191533	-0.0740881	-0.164295	0.0898823	0.0264876	0.0568635
OG0000058	-0.066051	-0.0989194	-0.00501349	-0.0457048	0.069283	-0.0294877	0.228984	0.125072	0.0436464	-0.0904037	-0.0408231	-0.0905819	0.0497767	-0.0428616	-0.0338633	-0.0513493	-0.0464773	-0.109433	0.101832	0.0660925	0.0999771	0.0428339	-0.0348156	-0.0417128
OG0000059	-0.142714	-0.073055	0.0313689	0.125745	0.0210964	-0.147966	-0.258603	-0.0412793	-0.365686	0.127312	0.408705	0.315077	-0.161272	-0.220003	-0.191354	0.246032	0.425392	0.266869	-0.742787	-0.211874	0.0263342	0.222005	0.176481	0.164178
OG0000060	0.524911	0.503078	0.319467	0.190171	-0.00745908	-0.141071	-0.419153	-0.485665	-0.653093	0.106479	-0.0688195	0.131155	0.134658	0.204849	-0.0104241	0.185397	0.421739	0.021114	-0.41268	-0.386486	-0.398209	0.0983584	0.123412	0.0182716
OG0000061	0.0195158	0.167464	0.143975	0.0613794	0.0236278	0.0645306	-0.309585	-0.0276162	-0.0861725	0.0779007	-0.0938082	-0.0412113	0.00804459	0.330242	-0.124427	-0.0751326	0.0804813	-0.110409	-0.131075	-0.164398	-0.416915	0.077622	0.481131	0.0448353
OG0000062	-0.0246318	-0.0156436	0.00322458	-0.0662009	-0.0496544	-0.0723058	0.155018	0.229584	0.225137	-0.157403	-0.127417	-0.0997072	-0.124141	-0.0595789	-0.192061	-0.00472234	0.0248135	-0.0534808	-0.0557863	0.149173	0.131448	0.0977679	0.097233	-0.010665
OG0000063	-0.0620101	-0.0713508	-0.0118781	0.204084	-0.108738	-0.111375	-0.0495039	0.00494941	-0.144364	-0.0150767	0.168993	0.196269	0.0279334	0.300727	-0.0822562	-0.0822562	-0.0822562	-0.0822562	-0.0822562	0.0862484	-0.0822562	-0.0822562	0.0480827	0.112802
OG0000064	0.078175	0.11258	-0.0602089	0.129176	-0.0112632	-0.000450856	-0.0494492	-0.214506	-0.19597	0.0842015	0.147355	-0.0196407	-0.0298419	0.00310835	-0.0213351	0.130048	0.125763	-0.0264963	-0.0727952	0.0093161	-0.0991832	0.013423	0.0067017	-0.0387076
OG0000065	0.250025	0.185235	0.151952	0.118029	-0.0137676	0.132372	-0.211748	-0.271984	-0.373912	0.0279775	-0.0653777	0.0711982	0.0269407	0.110194	0.0649131	0.132994	0.0706518	0.0307317	-0.153271	-0.0987579	-0.102182	0.0416443	-0.032685	-0.0911727
OG0000066	0.0322156	0.0166149	-0.0728126	0.0548972	-0.068558	0.0428381	-0.0582282	0.000751082	-0.0697304	0.0411529	0.0685313	0.0123282	0.14535	0.314655	0.250761	-0.408016	-0.331919	-0.144532	0.368041	0.143965	0.176573	-0.161201	-0.0968882	-0.256788
OG0000067	-0.675263	-0.624385	-0.514587	-0.699915	-0.554504	-0.484975	1.0171	1.06116	1.17518	0.0242179	0.273777	0.00219408	-0.423738	-0.134745	-0.321017	-0.349673	-0.344207	-0.385768	0.437517	0.473534	0.321247	0.213506	0.36813	0.145214
